event_date,gri,volume_score,severity_score,concentration_score,total_events,avg_goldstein,gri_armed_conflict_,gri_sanctions_finan,gri_technology_cont,gri_trade_policy_ac,gri_resource_energy,gri_regulatory_sove,gri_political_trans,gri_institutional_a
2022-07-18,64.1,50.271896673318864,84.56005581816669,50.58750187110918,3370,-6.912011163633336,74.6,62.1,,60.5,,73.7,60.3,
2022-07-19,67.5,59.96539591745748,84.48501878658308,48.488552007939326,3706,-6.897003757316614,78.5,66.9,,65.7,,64.7,67.6,
2022-07-20,68.6,63.18330432830809,84.5320920312142,47.42586532196924,3813,-6.906418406242841,79.7,68.7,,76.1,,65.1,69.1,
2022-07-21,67.2,59.79769386231052,84.6631279126067,47.015256217229734,3729,-6.932625582521339,77.5,67.3,,71.1,,58.9,70.3,
2022-07-22,64.3,51.996924640763616,84.66173692229559,47.9403050995824,3468,-6.932347384459116,73.7,68.1,,65.7,,57.3,65.2,
2022-07-23,52.9,23.229989433535884,84.72856515376392,48.77086998299119,2574,-6.945713030752785,59.0,55.4,,58.4,,55.6,54.7,
2022-07-24,53.9,21.918239768696537,84.9707630267788,55.6093626894798,2431,-6.994152605355758,60.4,54.9,,53.6,,55.7,47.5,
2022-07-25,63.2,49.225080325449824,84.12693853511118,49.528266925767106,3349,-6.8253877070222355,73.2,62.4,,62.0,,57.5,63.1,
2022-07-26,66.5,58.810531600825406,84.65091265268443,45.69528085336213,3680,-6.930182530536887,76.4,78.0,,69.3,,68.4,69.0,
2022-07-27,65.5,57.391902591868885,84.55640919858102,43.69943709464155,3665,-6.911281839716201,74.3,77.4,,73.5,,82.0,70.7,
2022-07-28,67.2,59.677688569065154,84.36659907215021,47.81163736373273,3672,-6.8733198144300385,77.7,73.8,,70.0,,61.6,66.7,
2022-07-29,62.1,47.09773152598768,84.20930190162636,47.95669342160526,3322,-6.841860380325274,70.9,60.2,,57.8,,69.6,65.3,
2022-07-30,51.6,19.578762414752607,84.38472893672385,50.23929508386787,2436,-6.876945787344771,56.9,58.8,,51.6,,48.5,52.0,
2022-07-31,52.2,19.040992084655244,85.02937528623407,52.9689607450042,2350,-7.005875057246814,57.8,54.9,,69.4,,51.1,47.1,
2022-08-01,62.9,48.740627610612925,84.89462939845237,47.29644088858547,3321,-6.97892587969047,71.6,67.8,,84.3,,61.6,61.5,
2022-08-02,70.4,66.74031228528821,84.35808791999811,49.58641796514435,3845,-6.871617583999624,82.5,76.6,,76.8,,57.6,65.1,
2022-08-03,68.7,63.80875999248041,83.91864488047335,48.101273880428835,3778,-6.7837289760946735,79.9,77.8,,73.2,,66.9,66.0,
2022-08-04,69.3,65.75425124768377,83.89733734763526,47.435125171674336,3850,-6.779467469527053,80.7,74.4,,81.1,,77.5,66.8,
2022-08-05,67.7,61.43826182701682,84.2943649232572,46.887843909412865,3757,-6.858872984651443,78.1,72.9,,74.2,,58.3,69.5,
2022-08-06,58.2,34.03951098813059,84.64417063369494,53.589404817454536,2822,-6.928834126738988,66.3,61.7,,58.1,,58.3,51.6,
2022-08-07,55.1,23.141202617018664,84.82652667322748,59.663723790291975,2425,-6.965305334645495,61.8,51.8,,55.4,,49.5,45.3,
2022-08-08,64.9,50.589342063285585,84.58044226927821,54.37296931318604,3290,-6.916088453855645,75.9,66.0,,63.5,,55.5,55.9,
